dataset	nLoci	length_cds_avg	length_cds_std	GCcds_avg	GCcds_std	GC12_avg	GC12_std	GC3_avg	GC3_std	length_utr_avg	length_utr_std	GCutr_avg	GCutr_std	r_expression_ENc	r_expression_ENcP	r_nReads_ENc	r_nReads_ENcP	r_GC3_GCutr	r_GC12_GCutr	focal	indiv	Fit	FitWC	piS	piN	piNpiS	Fit_d	Fit_u	FitWC_d	FitWC_u	piS_d	piS_u	piN_d	piN_u	piNpiS_d	piNpiS_u	Dtaj_ns	Dtaj_s	spid	spTrue	longevity	gestation	size	bodymass	juvenileSize	juvenileMass	ratioJuv	ratioJuvMass	ratioJuvSize	ratioJuvTime	ovosize	spermsize	dispersal	larvalDispersal	sociality	density	diet	sex	speed	kmh	fecundation	parentalCare	fecundity	fecundityPerDay	biogeography	Environment	invasive	genome.size	vertebrate	genus	subfamily	family	superfamily	suborder	order	class	superclass	phylum	custom	juvSize
Abatus_cordatus	2055	617.42044	511.79017	0.50475	0.05014	0.4677	0.04797	0.57884	0.11257	737.50949	575.58564	0.35975	0.05174	-0.17663	-0.09587	-0.27713	-0.23155	0.03775	0.10744	Abatus_cordatus	8	-0.0829405	-0.0257053	0.00282628	0.000829958	0.293658	-0.101356	-0.063194	-0.055315	0.002845	0.002567	0.00311	0.00074	0.000926	0.25559	0.335795	-0.659706	-0.750072	Abatus_cordatus	Abatus_cordatus	NA	250	2.77142857142857	9.27857142857143	0.2	NA	0.000375819159765	0.000375819159765	0.072164948453608	NA	1300	15	NA	NA	NA	200	detri	gonochoric	slow	2.0833333333e-05	int	yes	109	0.298630136986301	antarctic	marine	0	NA	invertebrate	Abatus	NA	Schizasteridae	NA	NA	Spatangoida	Echinoidea	Echinozoa	Echinodermata	Echinodermata	0.199999999999999
Allolobophora_chlorotica_L2	5279	416.4391	267.79373	0.48598	0.04827	0.46708	0.05095	0.52377	0.10081	260.60371	190.82022	0.3951	0.05678	-0.1204	-0.13312	-0.13386	-0.19394	0.2743	0.12609	Allolobophora_chlorotica_L2	8	0.384759	0.437587	0.0553005	0.00513112	0.0927863	0.379062	0.390426	0.432245	0.442717	0.054739	0.055865	0.005022	0.00524	0.09052	0.09505	-0.171874	-0.0312485	Allolobophora_chlorotica_L2	Allolobophora_chlorotica	1.25342465753425	87.5	5.5	0.3	0.023809523809524	"0	0007"	8.1126747e-08	0.002333333333333	0.004329004329004	NA	NA	NA	NA	NA	NA	NA	detri	hermaphrodite	slow	0.0144	ext	no	10	0.73972602739726	palearctic	terrestrial	0	1.02	invertebrate	Allolobophora	Lumbricinae	Lumbricidae	NA	Lumbricina	Haplotaxida	NA	NA	Annelida	Annelida	0.023809523809522
Aptenodytes_patagonicus	2649	646.83465	628.00568	0.456	0.05726	0.45068	0.05061	0.46663	0.12148	735.62703	746.5964	0.3977	0.07103	-0.06439	-0.05271	-0.0802	-0.13798	0.54724	0.24094	Aptenodytes_patagonicus	10	-0.0820884	-0.0153924	0.00263499	0.000456911	0.173402	-0.091345	-0.072489	-0.025289	-0.005368	0.002447	0.002828	0.000417	"0	0005"	0.156869	0.191812	-1.90909	-1.1425	Aptenodytes_patagonicus	Aptenodytes_patagonicus	41	67.5	90	11800	90	11800	1	1	1	NA	NA	NA	NA	NA	NA	NA	carni	gonochoric	fast	9	int	yes	1	0.002739726027397	antarctic	marine	0	NA	vertebrate	Aptenodytes	NA	Spheniscidae	NA	NA	Sphenisciformes	Aves	Gnathostomata	Chordata	Chordata	90
Armadillidium_vulgare	4206	923.65835	817.49731	0.39549	0.04923	0.42791	0.05471	0.33064	0.08165	325.34617	293.62121	0.30693	0.06824	-0.14065	-0.1535	-0.07721	-0.17924	0.28006	0.09282	Armadillidium_vulgare	10	0.181566	0.247406	0.0187064	0.00193442	0.103409	0.174005	0.188843	0.239745	0.254691	0.018306	0.019106	0.001869	0.002001	0.099753	0.107137	-0.666437	-0.269269	Armadillidium_vulgare	Armadillidium_vulgare	3.41666666666667	30	1.8	0.04	0.12	0.00027625	0.00690625	0.00690625	0.066666666666667	0.25	NA	NA	NA	NA	NA	10000	detri	gonochoric	slow	0.0168	int	yes	175	0.958904109589041	palearctic	terrestrial	0	1.96	invertebrate	Armadillidium	NA	Armadillidiidae	NA	Oniscidea	Isopoda	Malacostraca	NA	Arthropoda	Arthropoda	0.120000000000001
Artemia_franciscana	1017	692.17994	618.98785	0.41151	0.03896	0.44062	0.05053	0.35329	0.05603	244.05801	180.78965	0.34597	0.04727	-0.03065	-0.12916	-0.01886	-0.14323	0.15106	0.04604	Artemia_franciscana	10	0.371225	0.435482	0.01072	0.00132105	0.123232	0.362521	0.379918	0.4273	0.443463	0.010498	0.010952	0.001274	0.001369	0.118457	0.128212	-0.948389	-0.470973	Artemia_franciscana	Artemia_franciscana	4	NA	1	0.00406415258082	0.05	5.645371788e-06	0.000125	0.001389064922163	0.05	NA	NA	NA	NA	NA	NA	1000000	herbi	gonochoric	fast	0.0126	int	yes	200	40	nearctic	fresh	1	2.91	invertebrate	Artemia	NA	Artemiidae	NA	NA	Anostraca	Branchiopoda	NA	Arthropoda	Arthropoda	0.05
Caenorhabditis_brenneri	930	615.27742	440.17674	0.45052	0.04285	0.45247	0.04681	0.44662	0.10397	242.73226	147.99157	0.33922	0.04706	-0.26488	-0.17787	-0.43966	-0.39846	0.20712	0.06948	Caenorhabditis_brenneri	10	0.0546244	0.159726	0.032215	0.0012752	0.039584	0.030289	0.079476	0.128795	0.191255	0.029576	0.034985	0.001065	0.00151	0.033999	0.045366	-1.06814	-0.606413	Caenorhabditis_brenneri	Caenorhabditis_brenneri	0.16	0.604166666666667	0.1457	5.122265625e-06	0.0052	NA	4.5460203511e-05	NA	0.035689773507207	0.201388888888889	NA	NA	NA	NA	NA	NA	detri	gonochoric	slow	0.0018	int	no	1400	77.7777777777778	neotropic	terrestrial	0	0.1	invertebrate	Caenorhabditis	Peloderinae	Rhabditidae	Rhabditoidea	NA	Rhabditida	Chromadorea	NA	Nematoda	Nematoda	0.00520000000000006
Chelonoidis_nigra	3880	542.31804	470.10022	0.4548	0.05848	0.45128	0.05451	0.46183	0.11615	722.1049	674.07942	0.40313	0.07219	-0.12365	-0.15869	-0.13883	-0.22693	0.58135	0.29255	Chelonoidis_nigra	5	-0.145195	-0.104151	0.00163381	0.000612667	0.374993	-0.159673	-0.130353	-0.134841	-0.074568	0.001481	0.001799	0.000562	0.000663	0.334997	0.418485	-1.5251	-0.853084	Chelonoidis_nigra	Chelonoidis_nigra	177	165	110	175000	6.7	119.5	0.000682857142857	0.000682857142857	0.060909090909091	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	0.3	int	yes	10	0.027397260273973	ecuador	terrestrial	0	3.34	vertebrate	Chelonoidis	NA	Testudinidae	Testudinoidea	Cryptodira	Testudines	NA	Gnathostomata	Chordata	Chordata	6.70000000000001
Ciona_intestinalis_B	3865	678.17076	442.70063	0.40159	0.03676	0.42111	0.04137	0.36253	0.06987	422.06054	307.71593	0.31293	0.04295	-0.09589	-0.09583	-0.07366	-0.12276	0.13525	0.10014	Ciona_intestinalis_B	10	0.0104694	0.109717	0.0533579	0.00297222	0.0557034	0.001417	0.019679	0.101374	0.118238	0.051616	0.055097	0.002811	0.003136	0.052355	0.059135	-0.813382	-0.255636	Ciona_intestinalis_B	Ciona_intestinalis	3	NA	15.5	29.714	0.016	2.143573333e-06	1.09993e-09	7.2140181e-08	0.001032258064516	NA	NA	NA	NA	NA	NA	NA	herbi	hermaphrodite	fix	0	ext	no	2500	1000	NA	marine	1	0.2	invertebrate	Ciona	NA	Cionidae	NA	Phlebobranchia	Enterogona	Ascidiacea	NA	Chordata	Ascidiacea	0.015999999999998
Crepidula_fornicata	2664	778.25338	678.57204	0.52946	0.04712	0.48141	0.0483	0.62556	0.10155	480.91967	469.95268	0.39909	0.0616	-0.09989	-0.02998	-0.14863	-0.07813	0.15616	0.08485	Crepidula_fornicata	8	-0.0229741	0.144093	0.0225892	0.0019975	0.0884274	-0.035645	-0.009846	0.12368	0.164835	0.021733	0.02347	0.001887	0.002109	0.082766	0.094387	-0.939574	-0.92278	Crepidula_fornicata	Crepidula_fornicata	10	6.5	3.5	2.10218	0.0182	NA	1.40608e-07	NA	0.0052	NA	170	NA	55	10000	gregarious	4770	herbi	hermaphrodite	fix	0	int	NA	200000	547.945205479452	NA	marine	1	NA	invertebrate	Crepidula	NA	Calyptraeidae	Calyptraeoidea	NA	NA	Gastropoda	NA	Mollusca	Mollusca	0.0182
Cystodytes_dellechiajei_purple	6809	576.56792	434.61599	0.46501	0.05357	0.45357	0.04904	0.48789	0.1052	330.71215	263.03523	0.38247	0.05553	-0.06877	-0.12839	-0.03483	-0.14113	0.34658	0.17843	Cystodytes_dellechiajei_purple	5	0.550197	0.600973	0.0423533	0.00565209	0.133451	0.543304	0.556971	0.594045	0.607967	0.041903	0.0428	0.005527	0.005782	0.130123	0.13692	-0.150725	-0.128229	Cystodites_dellechiajei_purple	Cystodytes_dellechiajei	NA	NA	0.5	0.000903225806452	0.1	0.000709677419355	0.008	0.785714285714286	0.2	NA	NA	NA	NA	NA	NA	NA	NA	hermaphrodite	fix	0	int	NA	1	NA	NA	marine	0	NA	invertebrate	Cystodytes	NA	Polycitoridae	NA	Aplousobranchia	Enterogona	Ascidiacea	NA	Chordata	Ascidiacea	0.1
